시군명,확진시기,확진자수
평창,2020-03-30,0
정선,2020-03-30,0
철원,2020-03-30,0
화천,2020-03-30,0
양구,2020-03-30,0
인제,2020-03-30,0
고성,2020-03-30,0
양양,2020-03-30,0
춘천,2020-03-31,0
원주,2020-03-31,0
강릉,2020-03-31,0
동해,2020-03-31,0
태백,2020-03-31,0
속초,2020-03-31,0
삼척,2020-03-31,0
홍천,2020-03-31,0
횡성,2020-03-31,1
영월,2020-03-31,0
평창,2020-03-31,0
정선,2020-03-31,0
철원,2020-03-31,1
화천,2020-03-31,0
양구,2020-03-31,0
인제,2020-03-31,0
고성,2020-03-31,0
양양,2020-03-31,0
춘천,2020-04-01,0
원주,2020-04-01,1
강릉,2020-04-01,0
동해,2020-04-01,0
태백,2020-04-01,0
속초,2020-04-01,0
삼척,2020-04-01,0
홍천,2020-04-01,0
횡성,2020-04-01,0
영월,2020-04-01,0
평창,2020-04-01,0
정선,2020-04-01,0
철원,2020-04-01,0
화천,2020-04-01,0
양구,2020-04-01,0
인제,2020-04-01,0
고성,2020-04-01,0
양양,2020-04-01,0
춘천,2020-04-02,0
원주,2020-04-02,0
강릉,2020-04-02,0
동해,2020-04-02,0
태백,2020-04-02,0
속초,2020-04-02,0
삼척,2020-04-02,0
홍천,2020-04-02,0
횡성,2020-04-02,0
영월,2020-04-02,0
평창,2020-04-02,0
정선,2020-04-02,0
철원,2020-04-02,2
화천,2020-04-02,0
양구,2020-04-02,0
인제,2020-04-02,0
고성,2020-04-02,0
양양,2020-04-02,0
춘천,2020-04-03,0
원주,2020-04-03,0
강릉,2020-04-03,0
동해,2020-04-03,0
태백,2020-04-03,0
속초,2020-04-03,0
삼척,2020-04-03,0
홍천,2020-04-03,0
횡성,2020-04-03,0
영월,2020-04-03,0
평창,2020-04-03,0
정선,2020-04-03,0
철원,2020-04-03,1
화천,2020-04-03,0
양구,2020-04-03,0
인제,2020-04-03,0
고성,2020-04-03,0
양양,2020-04-03,0
춘천,2020-04-04,0
원주,2020-04-04,0
강릉,2020-04-04,1
동해,2020-04-04,0
태백,2020-04-04,0
속초,2020-04-04,0
삼척,2020-04-04,0
홍천,2020-04-04,0
횡성,2020-04-04,0
영월,2020-04-04,0
평창,2020-04-04,0
정선,2020-04-04,0
철원,2020-04-04,1
화천,2020-04-04,0
양구,2020-04-04,0
인제,2020-04-04,0
고성,2020-04-04,0
양양,2020-04-04,1
춘천,2020-04-05,1
원주,2020-04-05,0
강릉,2020-04-05,0
동해,2020-04-05,0
태백,2020-04-05,0
속초,2020-04-05,0
삼척,2020-04-05,0
홍천,2020-04-05,0
횡성,2020-04-05,0
영월,2020-04-05,0
평창,2020-04-05,0
정선,2020-04-05,0
철원,2020-04-05,0
화천,2020-04-05,0
양구,2020-04-05,0
